TxID,Zone,CID,"r_{i,t}","phi_{i,t}","p_{i,t,j,1}",Aadhaar,Device Drain,Temp (°C),Elevation (m),Proxy Access,Scan Result
T000896,Z4,026152,1,0.323,0.623,Linked,41%,33.4,609,Enabled,Valid
T000897,Z4,bc453c,1,0.368,0.581,Anonymous,56%,33.0,443,Enabled,Valid
T000898,Z5,45567d,1,0.236,0.745,Linked,12%,38.4,975,Disabled,Valid
T000899,Z3,286357,1,0.326,0.595,Linked,42%,32.7,726,Enabled,Valid
T000900,Z5,913354,1,0.281,0.765,Linked,27%,37.7,500,Disabled,Failed
T000901,Z1,6a15cb,1,0.383,0.513,Anonymous,61%,40.9,908,Disabled,Valid
T000902,Z4,0c00b5,1,0.275,0.739,Anonymous,25%,32.8,432,Enabled,Failed
T000903,Z3,1a25ee,1,0.251,0.721,Anonymous,17%,36.8,968,Disabled,Valid
T000904,Z4,76d9db,1,0.329,0.655,Linked,43%,36.1,401,Enabled,Valid
T000905,Z5,37b819,1,0.377,0.602,Linked,59%,33.0,264,Enabled,Failed
T000906,Z4,8daeb1,1,0.422,0.453,Anonymous,74%,41.5,883,Disabled,Valid
T000907,Z4,318334,1,0.332,0.547,Anonymous,44%,38.2,915,Enabled,Valid
T000908,Z2,157682,1,0.389,0.497,Linked,63%,34.9,690,Enabled,Valid
T000909,Z2,50acac,1,0.416,0.525,Linked,72%,29.7,325,Enabled,Failed
T000910,Z2,392fa7,1,0.302,0.593,Linked,34%,30.9,937,Enabled,Failed
T000911,Z5,7e6a3e,1,0.26,0.767,Linked,20%,32.7,666,Disabled,Valid
T000912,Z5,a783eb,1,0.233,0.872,Anonymous,11%,27.9,114,Enabled,Valid
T000913,Z1,ba1ef0,1,0.461,0.436,Linked,87%,34.8,644,Disabled,Failed
T000914,Z3,e97875,1,0.359,0.617,Anonymous,53%,42.0,590,Disabled,Failed
T000915,Z4,154647,1,0.266,0.706,Anonymous,22%,27.0,922,Disabled,Failed
T000916,Z2,46ba18,1,0.371,0.45,Anonymous,57%,33.8,1073,Enabled,Valid
T000917,Z2,9ff83f,1,0.245,0.772,Linked,15%,41.5,766,Disabled,Valid
T000918,Z5,c37b74,1,0.392,0.465,Linked,64%,41.1,1075,Disabled,Failed
T000919,Z1,98c4d4,1,0.428,0.343,Linked,76%,40.1,1133,Enabled,Valid
T000920,Z1,03d8c6,1,0.401,0.398,Anonymous,67%,41.3,1087,Enabled,Failed
T000921,Z2,7a8c1b,1,0.395,0.593,Linked,65%,41.9,159,Enabled,Failed
T000922,Z3,e2dbb4,1,0.41,0.58,Linked,70%,41.3,352,Disabled,Valid
T000923,Z5,d04082,1,0.449,0.489,Anonymous,83%,38.5,232,Enabled,Valid
T000924,Z4,5f67f1,1,0.329,0.679,Linked,43%,28.7,279,Enabled,Valid
T000925,Z5,d25dcf,1,0.35,0.679,Anonymous,50%,41.3,103,Enabled,Valid
T000926,Z5,111d86,1,0.368,0.648,Anonymous,56%,39.0,358,Disabled,Failed
T000927,Z5,74bf9f,1,0.434,0.411,Anonymous,78%,39.8,747,Enabled,Failed
T000928,Z3,3b305d,1,0.458,0.486,Anonymous,86%,31.3,170,Enabled,Valid
T000929,Z5,7e2317,1,0.419,0.411,Anonymous,73%,31.4,871,Enabled,Failed
T000930,Z3,7a36d8,1,0.296,0.61,Linked,32%,39.9,902,Enabled,Failed
T000931,Z2,54bbf1,1,0.392,0.517,Anonymous,64%,37.2,813,Disabled,Valid
T000932,Z1,fd4c06,1,0.44,0.476,Anonymous,80%,32.9,368,Enabled,Failed
T000933,Z5,8ec72f,1,0.449,0.317,Anonymous,83%,29.1,1088,Enabled,Failed
T000934,Z2,1dc9a1,1,0.449,0.505,Linked,83%,28.5,402,Disabled,Failed
T000935,Z4,ca8ca3,1,0.41,0.609,Linked,70%,29.7,207,Disabled,Failed
T000936,Z3,7337f5,1,0.323,0.676,Linked,41%,27.5,593,Disabled,Valid
T000937,Z5,d42a3c,1,0.374,0.508,Linked,58%,31.1,1011,Disabled,Valid
T000938,Z1,205cf4,1,0.236,0.674,Anonymous,12%,35.8,1082,Enabled,Failed
T000939,Z1,a8c2f2,1,0.395,0.604,Anonymous,65%,31.5,356,Disabled,Valid
T000940,Z5,855f73,1,0.443,0.358,Linked,81%,39.3,1185,Disabled,Valid
T000941,Z5,3c2ed3,1,0.299,0.691,Linked,33%,39.9,468,Enabled,Valid
T000942,Z3,9329a9,1,0.29,0.675,Linked,30%,28.3,625,Enabled,Failed
T000943,Z1,2a6f40,1,0.437,0.585,Anonymous,79%,29.6,100,Disabled,Valid
T000944,Z5,472f84,1,0.449,0.387,Anonymous,83%,34.4,740,Enabled,Failed
T000945,Z3,784861,1,0.245,0.778,Linked,15%,30.6,485,Enabled,Valid
T000946,Z2,50599a,1,0.278,0.677,Anonymous,26%,37.9,964,Disabled,Valid
T000947,Z3,b186ff,1,0.26,0.706,Anonymous,20%,41.2,971,Disabled,Valid
T000948,Z2,9d75de,1,0.446,0.361,Linked,82%,36.9,1147,Disabled,Valid
T000949,Z2,c861e2,1,0.461,0.384,Anonymous,87%,30.7,653,Enabled,Failed
T000950,Z5,7c7911,1,0.368,0.538,Anonymous,56%,40.6,659,Enabled,Failed
T000951,Z2,3bcbd7,1,0.314,0.747,Linked,38%,32.7,315,Disabled,Failed
T000952,Z2,4bdd72,1,0.431,0.43,Anonymous,77%,32.2,677,Enabled,Valid
T000953,Z1,7741b0,1,0.299,0.597,Anonymous,33%,32.2,1188,Disabled,Valid
T000954,Z4,db4271,1,0.425,0.503,Anonymous,75%,37.7,358,Enabled,Valid
T000955,Z3,644417,1,0.404,0.495,Linked,68%,29.7,824,Disabled,Valid
T000956,Z3,28c4a7,1,0.263,0.709,Linked,21%,41.2,932,Disabled,Valid
T000957,Z1,e3523c,1,0.293,0.74,Linked,31%,35.6,273,Enabled,Valid
T000958,Z4,d6566d,1,0.419,0.397,Linked,73%,34.7,1190,Disabled,Valid
T000959,Z1,01f626,1,0.434,0.49,Linked,78%,38.2,600,Disabled,Failed
T000960,Z5,46d562,1,0.431,0.473,Anonymous,77%,40.6,458,Enabled,Valid
T000961,Z2,469852,1,0.419,0.462,Linked,73%,32.7,864,Disabled,Valid
T000962,Z2,6921d8,1,0.413,0.538,Anonymous,71%,31.4,536,Disabled,Failed
T000963,Z5,2142be,1,0.407,0.385,Anonymous,69%,40.4,1099,Enabled,Valid
T000964,Z5,e2f83b,1,0.269,0.789,Anonymous,23%,27.1,481,Disabled,Valid
T000965,Z1,b1a7e0,1,0.431,0.482,Linked,77%,34.7,414,Enabled,Valid
T000966,Z4,aab41d,1,0.41,0.458,Anonymous,70%,32.9,712,Enabled,Valid
T000967,Z2,d2732c,1,0.398,0.505,Linked,66%,29.4,824,Disabled,Valid
T000968,Z3,41c6f5,1,0.245,0.733,Linked,15%,29.0,962,Disabled,Valid
T000969,Z1,a9c48c,1,0.275,0.652,Anonymous,25%,33.3,1114,Disabled,Failed
T000970,Z2,f2b42c,1,0.272,0.801,Anonymous,24%,41.4,143,Enabled,Valid
T000971,Z5,3bd848,1,0.392,0.657,Linked,64%,41.6,116,Disabled,Valid
T000972,Z3,a835ff,1,0.467,0.276,Anonymous,89%,29.3,1147,Enabled,Valid
T000973,Z1,0823f1,1,0.41,0.538,Anonymous,70%,37.6,311,Enabled,Failed
T000974,Z5,ea8b0a,1,0.275,0.789,Linked,25%,29.0,178,Enabled,Failed
T000975,Z2,70e317,1,0.248,0.635,Linked,16%,32.7,1175,Enabled,Failed
T000976,Z2,ffd34f,1,0.251,0.874,Anonymous,17%,34.6,205,Disabled,Valid
T000977,Z3,55be00,1,0.35,0.606,Anonymous,50%,40.4,472,Enabled,Valid
T000978,Z3,e27759,1,0.461,0.469,Anonymous,87%,28.5,478,Disabled,Failed
T000979,Z3,4737cc,1,0.233,0.822,Linked,11%,37.2,366,Enabled,Valid
T000980,Z3,850704,1,0.335,0.548,Anonymous,45%,30.2,886,Enabled,Failed
T000981,Z2,2502cb,1,0.302,0.72,Linked,34%,37.6,302,Enabled,Failed
T000982,Z5,c4f6fc,1,0.434,0.522,Anonymous,78%,37.8,189,Enabled,Valid
T000983,Z5,af3892,1,0.47,0.351,Anonymous,90%,37.8,993,Disabled,Failed
T000984,Z5,a70cde,1,0.278,0.825,Linked,26%,31.3,224,Disabled,Failed
T000985,Z2,2632ff,1,0.398,0.443,Linked,66%,38.3,886,Enabled,Failed
T000986,Z4,4e1fdb,1,0.23,0.791,Linked,10%,29.4,546,Enabled,Valid
T000987,Z5,62d9dc,1,0.314,0.68,Anonymous,38%,31.4,649,Disabled,Valid
T000988,Z2,20d3ae,1,0.245,0.791,Linked,15%,36.6,668,Disabled,Valid
T000989,Z1,51b1ee,1,0.362,0.509,Linked,54%,36.5,855,Enabled,Valid
T000990,Z5,447c63,1,0.353,0.721,Anonymous,51%,41.8,121,Disabled,Valid
T000991,Z3,b8ed4f,1,0.374,0.535,Linked,58%,41.2,627,Enabled,Failed
T000992,Z5,402e74,1,0.353,0.513,Anonymous,51%,31.0,909,Enabled,Valid
T000993,Z4,f84ee9,1,0.419,0.489,Anonymous,73%,29.7,478,Enabled,Failed
T000994,Z2,9c9fab,1,0.236,0.847,Linked,12%,31.7,463,Disabled,Valid
T000995,Z5,bbd210,1,0.392,0.445,Linked,64%,30.7,924,Enabled,Failed
T000996,Z2,2ed438,1,0.236,0.915,Anonymous,12%,28.7,127,Disabled,Valid
T000997,Z1,477454,1,0.284,0.835,Linked,28%,41.1,127,Disabled,Failed
T000998,Z1,4c4cdc,1,0.281,0.613,Linked,27%,34.2,1009,Enabled,Valid
T000999,Z3,4dc30e,1,0.437,0.485,Linked,79%,37.4,352,Enabled,Failed
